href	initial_status	final_status
/	200	200
/#verify	200	200
/assets/apple-touch-180-e257b61a.png	200	200
/assets/icon-192-a89d24be.png	200	200
/assets/legal-ff7db1a6.css	200	200
/assets/style-Ch_lQprv.css	200	200
/demo	200	200
/manifest.webmanifest	200	200
/privacy/	200	200
/terms/	200	200
https://android-backup-receipt.sociobot.in/	200	200
https://android-backup-receipt.sociobot.in/404.html	200	200
https://android-backup-receipt.sociobot.in/offline.html	200	200
https://android-backup-receipt.sociobot.in/privacy/	200	200
https://android-backup-receipt.sociobot.in/terms/	200	200
https://api.sociobot.in/api/v1/products/android-backup-receipt/checkout	303	200
https://github.com/B-Divyesh/sf-android-backup-receipt	200	200
https://github.com/B-Divyesh/sf-android-backup-receipt/releases/latest/download/SHA256SUMS	302	200
https://github.com/B-Divyesh/sf-android-backup-receipt/releases/latest/download/android-backup-receipt.apk	302	200
